MovieName,Genre,Rating,Director,Actor,PeopleVote,Year,Hero_Rating,movie_rating,content_rating,link
Kadaisi Bench Karthi,Comedy,4.1,Ravee Paargavan,Gnanasambandam,36,2017.0,8.0,9.0,7.033333333,https://www.imdb.com/find/?q=KadaisiBenchKarthi
Mersal,Action,7.7,Atlee Kumar,Joseph Vijay,23383,2017.0,8.0,8.0,7.9,https://www.imdb.com/find/?q=Mersal
Meyaadha Maan,Romance,7.2,Rathna Kumar,Vaibhav Reddy,870,2017.0,8.0,7.0,7.4,https://www.imdb.com/find/?q=MeyaadhaMaan
Solo,Action,7.1,Bejoy Nambiar,Dulquer Salmaan,2772,2017.0,4.0,8.0,6.366666667,https://www.imdb.com/find/?q=Solo
Hara Hara Mahadevaki,Comedy,5.3,Santhosh P. Jayakumar,Kovai Babu,450,2017.0,7.0,9.0,7.1,https://www.imdb.com/find/?q=HaraHaraMahadevaki
Karuppan,Action,5.6,R. Panneerselvam,Sami Rajalingam,520,2017.0,5.0,8.0,6.2,https://www.imdb.com/find/?q=Karuppan
Spyder,Action,6.6,A.R. Murugadoss,Mahesh Babu,8652,2017.0,7.0,7.0,6.866666667,https://www.imdb.com/find/?q=Spyder
Bayama Irukku,Comedy,5.3,Jawahar,Santhosh Prathap,70,2017.0,3.0,8.0,5.433333333,https://www.imdb.com/find/?q=BayamaIrukku
Aayirathil Iruvar,Action,4.6,Saran,Vinay Rai,57587,2017.0,5.0,9.0,6.2,https://www.imdb.com/find/?q=AayirathilIruvar
Kalavu Thozhirchalai,Thriller,5.9,T Krishna Samy,T. Krishnasamy,25,2017.0,6.0,8.0,6.633333333,https://www.imdb.com/find/?q=KalavuThozhirchalai
Veedevadu,Thriller,5.5,Tatineni Satya,Esha Gupta,44,2017.0,2.0,7.0,4.833333333,https://www.imdb.com/find/?q=Veedevadu
Thupparivaalan,Action,7.5,Myshkin,Vishal,3405,2017.0,8.0,8.0,7.833333333,https://www.imdb.com/find/?q=Thupparivaalan
Kathanayagan,Comedy,4.2,Tha. Muruganatham,Meera Krishna,30228,2017.0,7.0,9.0,6.733333333,https://www.imdb.com/find/?q=Kathanayagan
Neruppu Da,Action,4.3,Nikki Galrani,Nagineedu,10330,2017.0,8.0,9.0,7.1,https://www.imdb.com/find/?q=NeruppuDa
Kurangu Bommai,Drama,8.1,Nithilan,Vidharth,1093,2017.0,7.0,8.0,7.7,https://www.imdb.com/find/?q=KuranguBommai
Maayavan,Action,7.3,C.V. Kumar,Sundeep Kishan,1468,2017.0,2.0,9.0,6.1,https://www.imdb.com/find/?q=Maayavan
Puriyaatha Puthir,Thriller,6.6,Ranjit Jeyakodi,Vijay Sethupathi,771,2017.0,8.0,9.0,7.866666667,https://www.imdb.com/find/?q=PuriyaathaPuthir
Vivegam,Action,5.6,Siva,Ajith Kumar,10389,2017.0,9.0,8.0,7.533333333,https://www.imdb.com/find/?q=Vivegam
Thappu Thanda,Crime,6.0,Srikantan,Ajay Ghosh,42,2017.0,7.0,8.0,7.0,https://www.imdb.com/find/?q=ThappuThanda
Taramani,Drama,7.5,Ram,Anjali,1252,2017.0,4.0,7.0,6.166666667,https://www.imdb.com/find/?q=Taramani
Velaiyilla Pattathari 2,Action,5.4,Soundarya R. Ashwin,Riaz Ahmed,1783,2017.0,8.0,8.0,7.133333333,https://www.imdb.com/find/?q=VelaiyillaPattathari2
Podhuvaga En Manasu Thangam,Comedy,3.8,Thalapathy Prabhu,Parthiban,115,2017.0,5.0,9.0,5.933333333,https://www.imdb.com/find/?q=PodhuvagaEnManasuThangam
Kootathil Oruthan,Comedy,6.7,T.J. Gnanavel,Ashok Selvan,363,2017.0,7.0,8.0,7.233333333,https://www.imdb.com/find/?q=KootathilOruthan
Nibunan,Action,6.6,Arun Vaidyanathan,Varalaxmi Sarathkumar,782,2017.0,4.0,9.0,6.533333333,https://www.imdb.com/find/?q=Nibunan
Meesaya murukku,Biography,7.6,Hiphop Tamizha Adhi,Hiphop Tamizha Adhi,1869,2017.0,8.0,9.0,8.2,https://www.imdb.com/find/?q=Meesayamurukku
Vikram Vedha,Action,8.7,Gayatri,Pushkar,23249,2017.0,9.0,8.0,8.566666667,https://www.imdb.com/find/?q=VikramVedha
Rubaai,Action,6.1,M. Anbazhagan,Anandhi,41952,2017.0,8.0,7.0,7.033333333,https://www.imdb.com/find/?q=Rubaai
Magalir Mattum,Drama,6.3,Bramma G.,Jyotika,455,2017.0,9.0,7.0,7.433333333,https://www.imdb.com/find/?q=MagalirMattum
Pandigai,Action,6.5,Feroz,Kreshna,245,2017.0,7.0,8.0,7.166666667,https://www.imdb.com/find/?q=Pandigai
Thiri,Drama,5.2,Ashok Amritharaj S.,A.L. Azhagappan,33926,2017.0,8.0,9.0,7.4,https://www.imdb.com/find/?q=Thiri
Gemini Ganesanum Suruli Rajanum,Comedy,5.8,Ilavarasu Odam,Regina Cassandra,387,2017.0,9.0,9.0,7.933333333,https://www.imdb.com/find/?q=GeminiGanesanumSuruliRajanum
Chennaiyil Oru Naal 2,Thriller,4.6,Jpr,Sarath Kumar,84,2017.0,7.0,8.0,6.533333333,https://www.imdb.com/find/?q=ChennaiyilOruNaal2
Ivan Thanthiran,Action,6.3,R. Kannan,RJ Balaji,28334,2017.0,8.0,7.0,7.1,https://www.imdb.com/find/?q=IvanThanthiran
Adhagappattathu Magajanangalay,Comedy,5.0,Inba Sekhar,Inbasekhar,19592,2017.0,9.0,7.0,7.0,https://www.imdb.com/find/?q=AdhagappattathuMagajanangalay
Yaanum Theeyavan,Action,6.1,Prashanth G Sekr,Prashanth G Sekar,26862,2017.0,8.0,8.0,7.366666667,https://www.imdb.com/find/?q=YaanumTheeyavan
Vanamagan,Action,5.5,A.L. Vijay,Arjun,599,2017.0,7.0,9.0,7.166666667,https://www.imdb.com/find/?q=Vanamagan
Anbanavan Asaradhavan Adangadhavan,Action,2.3,Adhik Ravichandran,Tamannaah Bhatia,510,2017.0,5.0,9.0,5.433333333,https://www.imdb.com/find/?q=AnbanavanAsaradhavanAdangadhavan
Maragatha Nananya,Adventure,7.0,Ark Saravan,Aadhi,1144,2017.0,8.0,7.0,7.333333333,https://www.imdb.com/find/?q=MaragathaNananya
Uru,Thriller,5.9,Vicky Anand,Vicky Anand,275,2017.0,8.0,8.0,7.3,https://www.imdb.com/find/?q=Uru
Peechaankai,Comedy,6.5,Ashok,Rskarthiik,53,2017.0,3.0,8.0,5.833333333,https://www.imdb.com/find/?q=Peechaankai
Rangoon,Action,7.1,Rajkumar Periasamy,Gautham Karthik,560,2017.0,8.0,7.0,7.366666667,https://www.imdb.com/find/?q=Rangoon
Sathriyan,Action,4.8,Vikram Prabhu,Manjima Mohan,51758,2017.0,7.0,8.0,6.6,https://www.imdb.com/find/?q=Sathriyan
Bongu,Crime,5.3,Taj,Pooja Bisht,93,2017.0,8.0,7.0,6.766666667,https://www.imdb.com/find/?q=Bongu
Oru Kidayin Karunai Manu,Drama,7.7,Suresh Sangaiah,Suresh Sangaiah,276,2017.0,9.0,8.0,8.233333333,https://www.imdb.com/find/?q=OruKidayinKarunaiManu
Oru Iyakkunarin Kadhal Diary,Drama,6.4,V Brabhakar,Velu Prabhakaran,15560,2017.0,8.0,9.0,7.8,https://www.imdb.com/find/?q=OruIyakkunarinKadhalDiary
7 Naatkal,Thriller,4.4,Gautham V.R.,M.S. Bhaskar,14763,2017.0,7.0,9.0,6.8,https://www.imdb.com/find/?q=7Naatkal
Thondan,Crime,6.0,Samuthirakani,Arthana Binu,242,2017.0,4.0,8.0,6.0,https://www.imdb.com/find/?q=Thondan
Brindavanam,Drama,6.8,Radha Mohan,Arulnithi,1061,2017.0,8.0,8.0,7.6,https://www.imdb.com/find/?q=Brindavanam
Inayathalam,Drama,2.9,Sankar Suresh,Shankar-Suresh,59340,2017.0,5.0,9.0,5.633333333,https://www.imdb.com/find/?q=Inayathalam
Sangili Bungili Kadhava Thorae,Comedy,5.3,Ike Radha,Nivas Adithan,3026,2017.0,6.0,8.0,6.433333333,https://www.imdb.com/find/?q=SangiliBungiliKadhavaThorae
Yeidhavan,Action,6.0,Sakthi Rajasekaran,Sandra Amy,71417,2017.0,3.0,9.0,6.0,https://www.imdb.com/find/?q=Yeidhavan
Saravanan Irukka Bayamaen,Action,2.9,Ezhil,Karai Natrajan,159,2017.0,2.0,8.0,4.3,https://www.imdb.com/find/?q=SaravananIrukkaBayamaen
Enga Amma Rani,Action,6.1,S. Bani,Dhansika,47566,2017.0,1.0,9.0,5.366666667,https://www.imdb.com/find/?q=EngaAmmaRani
Baahubali 2: The Conclusion,Action,8.2,S.S. Rajamouli,Prabhas,71418,2017.0,4.0,8.0,6.733333333,https://www.imdb.com/find/?q=Baahubali2:TheConclusion
Nagarvalam,Drama,5.8,Marxx,Yogi Babu,35314,2017.0,7.0,9.0,7.266666667,https://www.imdb.com/find/?q=Nagarvalam
Sathya,Action,2.7,Deepan,Roma Asrani,110,2017.0,8.0,8.0,6.233333333,https://www.imdb.com/find/?q=Sathya
Kadamban - Taqatwar,Action,5.4,N. Ragavan,Arya,363,2017.0,5.0,9.0,6.466666667,https://www.imdb.com/find/?q=Kadamban-Taqatwar
Sivalinga - Kanchana Returns,Horror,4.7,P. Vasu,Bhanupriya,361,2017.0,6.0,7.0,5.9,https://www.imdb.com/find/?q=Sivalinga-KanchanaReturns
Power Paandi,Action,7.6,Dhanush,Dhanush,1179,2017.0,9.0,7.0,7.866666667,https://www.imdb.com/find/?q=PowerPaandi
8 Thottakkal,Action,7.6,Sri Ganesh,Vetri,1394,2017.0,4.0,8.0,6.533333333,https://www.imdb.com/find/?q=8Thottakkal
Kaatru Veliyidai,Romance,5.9,Mani Ratnam,Karthi,1669,2017.0,7.0,9.0,7.3,https://www.imdb.com/find/?q=KaatruVeliyidai
Dora,Action,5.3,Dass Ramasamy,Nayanthara,701,2017.0,4.0,8.0,5.766666667,https://www.imdb.com/find/?q=Dora
Kavan,Action,7.1,K.V. Anand,Vijay Sethupathi,1853,2017.0,5.0,9.0,7.033333333,https://www.imdb.com/find/?q=Kavan
Kadugu,Drama,7.5,Vijay Milton,Radhika Prasidhha,482,2017.0,4.0,8.0,6.5,https://www.imdb.com/find/?q=Kadugu
Paambhu Sattai,Action,6.2,Adam Dasan,Bobby Simha,125,2017.0,8.0,9.0,7.733333333,https://www.imdb.com/find/?q=PaambhuSattai
Dhayam,Thriller,4.6,Kannan Rangaswamy,Aira Agarval,32535,2017.0,5.0,8.0,5.866666667,https://www.imdb.com/find/?q=Dhayam
Vaigai Express,Thriller,4.6,Shaji Kailas,Shaji Kailas,23,2017.0,6.0,7.0,5.866666667,https://www.imdb.com/find/?q=VaigaiExpress
Julieum 4 Perum,Family,3.4,Satheesh,Amudhavaanan,7,2017.0,9.0,7.0,6.466666667,https://www.imdb.com/find/?q=Julieum4Perum
Bruce Lee,Action,2.4,Prashanth Pandiraj,Anandraj,146,2017.0,8.0,8.0,6.133333333,https://www.imdb.com/find/?q=BruceLee
Kattappava Kanom,Comedy,5.1,Mani Seiyon,Yogi Babu,28454,2017.0,7.0,8.0,6.7,https://www.imdb.com/find/?q=KattappavaKanom
Oru Mugathirai,Drama,5.7,R. Senthil Nadan,Chaams,65651,2017.0,4.0,8.0,5.9,https://www.imdb.com/find/?q=OruMugathirai
Maanagaram,Action,8.1,Lokesh Kanagaraj,Sundeep Kishan,3350,2017.0,5.0,9.0,7.366666667,https://www.imdb.com/find/?q=Maanagaram
ACP Shiva,Action,3.3,Sai Ramani,Joy Badlani,352,2017.0,8.0,9.0,6.766666667,https://www.imdb.com/find/?q=ACPShiva
